genus	hgt_candidate	method	RAAU_cluster	blast_algorithm_type	blast_HGT_score	blast_hgt_taxonomy_level	blast_acceptor_lineage_at_hgt_taxonomy_level	blast_acceptor_lca_level	blast_acceptor_best_nonself_match_id	blast_acceptor_max_pident	blast_acceptor_max_bitscore	blast_acceptor_min_evalue	blast_acceptor_num_matches_at_lineage	blast_donor_num_matches_at_lineage	blast_total_num_matches	blast_donor_lineage_at_hgt_taxonomy_level	blast_donor_best_match_full_lineage	blast_donor_best_match_id	blast_donor_best_match_pident	blast_donor_max_bitscore	blast_donor_min_evalue	blast_alien_index	blast_hgt_index	blast_donor_distribution_index	blast_entropy	blast_entropy_normalized	blast_gini	blast_acceptor_sum_bitscore_per_group_01	blast_donor_sum_bitscore_per_group_01	blast_ahs_01_index	blast_transfer_index	blast_transfer_index_p_value	blast_transfer_index_adjusted_p_value	kofamscan_ko	kofamscan_threshold	kofamscan_score	kofamscan_evalue	kofamscan_ko_definition	hmmscan_domain_name	hmmscan_description	hmmscan_sequence_evalue	hmmscan_sequence_score	hmmscan_sequence_bias	hmmscan_best_domain_evalue	hmmscan_best_domain_score	pangenome_num_genes_in_cluster	pangenome_size	gff_seqid	gff_source	gff_feature	gff_start	gff_end	gff_score	gff_strand	gff_frame	gff_attribute	gff_seqid_length	gff_Dbxref	gff_end_range	gff_gbkey	gff_go_component	gff_go_function	gff_go_process	gff_ID	gff_locus_tag	gff_Name	gff_Note	gff_Ontology_term	gff_orig_transcript_id	gff_Parent	gff_partial	gff_product	gff_protein_id	gff_start_range	gff_frame_tally	gff_gene	gff_pseudo	gff_orig_protein_id	gff_transl_table	gff_exception
Pleurotus	CM033827.1_cds_KAG9221659.1_6085_1	blast	NA	kingdom	2 likely HGT	kingdom	Fungi	class	KAG9220953.1	74.7	561	3.76e-161	98	1	99	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5220628.1	81.3	610	3.5899999999999984e-176	34.58504314981229	8.368915456874467	1	0.08146202691506	0.02901735946353151	0.14574314574314584	70.70819672131148	1	-69.70819672131148	NA	NA	NA	K00059	271.63	126.9	9.999999999999999e-38	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	VOG09790	REFSEQ hypothetical protein	3.4999999999999997e-25	89.9	0	5.3e-25	89.3	5	10	CM033827.1	Genbank	CDS	905915	906001	.	+	0	ID=cds-KAG9221659.1;Parent=rna-gnl|WGS:WQMT|mrna.g05827.t1.cds;Dbxref=NCBI_GP:KAG9221659.1;Name=KAG9221659.1;gbkey=CDS;locus_tag=CCMSSC00406_0005572;orig_transcript_id=gnl|WGS:WQMT|mrna.g05827.t1.cds;product=hypothetical protein;protein_id=KAG9221659.1	2006413	NCBI_GP:KAG9221659.1	NA	CDS	NA	NA	NA	cds-KAG9221659.1	CCMSSC00406_0005572	KAG9221659.1	NA	NA	gnl|WGS:WQMT|mrna.g05827.t1.cds	rna-gnl|WGS:WQMT|mrna.g05827.t1.cds	NA	hypothetical protein	KAG9221659.1	NA	8	NA	NA	NA	NA	NA
Pleurotus	CM033828.1_cds_KAG9220766.1_6973_1	blast	NA	kingdom	1 possible HGT	kingdom	Fungi	genus	KAF4579691.1	98.6	318	1.5299999999999998e-88	3	2	5	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5223246.1	75.6	328	1.6200000000000002e-91	6.850596865142194	3.095975232198142	1	0.9709505944546686	0.3458595800715595	0.25714285714285723	1.7073170731707317	1.5884146341463414	-0.11890243902439024	NA	NA	NA	K23358	565.87	34.1	7.4e-10	transcription initiation factor TFIID subunit 1, fungi type [EC:2.3.1.48]	VOG03162	REFSEQ tail protein	0.13	13	0.1	0.32	11.7	1	10	CM033828.1	Genbank	CDS	1577719	1578001	.	-	0	ID=cds-KAG9220766.1;Parent=rna-gnl|WGS:WQMT|mrna.g04120.t1.cds;Dbxref=NCBI_GP:KAG9220766.1;Name=KAG9220766.1;gbkey=CDS;locus_tag=CCMSSC00406_0003865;orig_transcript_id=gnl|WGS:WQMT|mrna.g04120.t1.cds;product=hypothetical protein;protein_id=KAG9220766.1	3641643	NCBI_GP:KAG9220766.1	NA	CDS	NA	NA	NA	cds-KAG9220766.1	CCMSSC00406_0003865	KAG9220766.1	NA	NA	gnl|WGS:WQMT|mrna.g04120.t1.cds	rna-gnl|WGS:WQMT|mrna.g04120.t1.cds	NA	hypothetical protein	KAG9220766.1	NA	2	NA	NA	NA	NA	NA
Pleurotus	CM033828.1_cds_KAG9220859.1_7066_1	blast	NA	kingdom	3 highly likely HGT	kingdom	Fungi	species	KAG9218184.1	54	262	7.1e-72	2	2	4	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5223276.1	66.8	440	3.03e-125	122.88854209321045	50.712250712250714	1	1	0.3562071871080222	0.2857142857142857	1.070454545454545	1.4772727272727273	0.406818181818182	NA	NA	NA	K24774	125.63	5.3	0.54	formin-binding protein 4	NA	NA	NA	NA	NA	NA	NA	1	10	CM033828.1	Genbank	CDS	1811484	1812566	.	+	0	ID=cds-KAG9220859.1;Parent=rna-gnl|WGS:WQMT|mrna.g02542.t1.cds;Dbxref=NCBI_GP:KAG9220859.1;Name=KAG9220859.1;gbkey=CDS;locus_tag=CCMSSC00406_0002541;orig_transcript_id=gnl|WGS:WQMT|mrna.g02542.t1.cds;product=hypothetical protein;protein_id=KAG9220859.1	3641643	NCBI_GP:KAG9220859.1	NA	CDS	NA	NA	NA	cds-KAG9220859.1	CCMSSC00406_0002541	KAG9220859.1	NA	NA	gnl|WGS:WQMT|mrna.g02542.t1.cds	rna-gnl|WGS:WQMT|mrna.g02542.t1.cds	NA	hypothetical protein	KAG9220859.1	NA	1	NA	NA	NA	NA	NA
Pleurotus	CM033828.1_cds_KAG9221450.1_7657_1	blast	NA	kingdom	1 possible HGT	kingdom	Fungi	species	KAF9488294.1	50.8	330	8.499999999999999e-92	1	3	4	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5223267.1	100	338	1.28e-94	6.498376271552843	2.395209580838323	1	0.8112781244591328	0.28898309867585964	0.2142857142857143	0.9763313609467456	1.578698224852071	0.6023668639053253	NA	NA	NA	K09860	86.9	15.9	5.6e-4	outer membrane protein FlgP	VOG00162	REFSEQ tail terminator	0.0088	17.4	5.9	0.0088	17.4	1	10	CM033828.1	Genbank	CDS	3587744	3587832	.	-	0	ID=cds-KAG9221450.1;Parent=rna-gnl|WGS:WQMT|mrna.g010842.t1.cds;Dbxref=NCBI_GP:KAG9221450.1;Name=KAG9221450.1;gbkey=CDS;locus_tag=CCMSSC00406_0010141;orig_transcript_id=gnl|WGS:WQMT|mrna.g010842.t1.cds;product=hypothetical protein;protein_id=KAG9221450.1	3641643	NCBI_GP:KAG9221450.1	NA	CDS	NA	NA	NA	cds-KAG9221450.1	CCMSSC00406_0010141	KAG9221450.1	NA	NA	gnl|WGS:WQMT|mrna.g010842.t1.cds	rna-gnl|WGS:WQMT|mrna.g010842.t1.cds	NA	hypothetical protein	KAG9221450.1	NA	6	NA	NA	NA	NA	NA
Pleurotus	CM033828.1_cds_KAG9221451.1_7658_1	blast	NA	kingdom	2 likely HGT	kingdom	Fungi	class	KAF9492176.1	61.8	660	2.5299999999999998e-191	17	3	20	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5223267.1	75.1	953	9.18e-280	21.651485140081093	36.329820210787354	1	0.6098403047164004	0.2172294995281281	0.18571428571428583	3.360335781741868	1.7932843651626442	-1.5670514165792235	NA	NA	NA	K04497	290.7	13	0.004	groucho	VOG33185	REFSEQ hypothetical protein	0.051	13.3	0.1	0.082	12.6	2	10	CM033828.1	Genbank	CDS	3590839	3590954	.	-	0	ID=cds-KAG9221451.1;Parent=rna-gnl|WGS:WQMT|mrna.g010843.t1.cds;Dbxref=NCBI_GP:KAG9221451.1;Name=KAG9221451.1;gbkey=CDS;locus_tag=CCMSSC00406_0010142;orig_transcript_id=gnl|WGS:WQMT|mrna.g010843.t1.cds;product=hypothetical protein;protein_id=KAG9221451.1	3641643	NCBI_GP:KAG9221451.1	NA	CDS	NA	NA	NA	cds-KAG9221451.1	CCMSSC00406_0010142	KAG9221451.1	NA	NA	gnl|WGS:WQMT|mrna.g010843.t1.cds	rna-gnl|WGS:WQMT|mrna.g010843.t1.cds	NA	hypothetical protein	KAG9221451.1	NA	6	NA	NA	NA	NA	NA
Pleurotus	CM033829.1_cds_KAG9220062.1_8011_1	blast	NA	kingdom	3 highly likely HGT	kingdom	Fungi	kingdom	KAF4607327.1	97.8	368	6.919999999999999e-104	97	1	99	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5220692.1	73.8	476	9.97e-136	73.31755816146529	25.592417061611375	0.8	0.1627753504619189	0.05798174971856263	0.1515151515151515	60.338235294117645	1	-59.338235294117645	NA	NA	NA	K02955	212.33	310.2	9.8e-94	small subunit ribosomal protein S14e	VOG30644	REFSEQ hypothetical protein	0.0034	18.5	1.1	0.015	16.5	13	10	CM033829.1	Genbank	CDS	1266663	1266665	.	+	0	ID=cds-KAG9220062.1;Parent=rna-gnl|WGS:WQMT|mrna.g08342.t1.cds;Dbxref=NCBI_GP:KAG9220062.1;Name=KAG9220062.1;gbkey=CDS;locus_tag=CCMSSC00406_0007922;orig_transcript_id=gnl|WGS:WQMT|mrna.g08342.t1.cds;product=hypothetical protein;protein_id=KAG9220062.1	1857991	NCBI_GP:KAG9220062.1	NA	CDS	NA	NA	NA	cds-KAG9220062.1	CCMSSC00406_0007922	KAG9220062.1	NA	NA	gnl|WGS:WQMT|mrna.g08342.t1.cds	rna-gnl|WGS:WQMT|mrna.g08342.t1.cds	NA	hypothetical protein	KAG9220062.1	NA	7	NA	NA	NA	NA	NA
Pleurotus	CM033830.1_cds_KAG9218908.1_8624_1	blast	NA	kingdom	1 possible HGT	kingdom	Fungi	class	XP_043013396.1	43.7	719	1.99e-209	98	1	99	Other Eukaryota	Eukaryota;Other Eukaryota;unclassified Eukaryota phylum;unclassified Eukaryota class;unclassified Eukaryota order;unclassified Eukaryota family;unclassified Eukaryota genus;unclassified Eukaryota species	XP_036632991.1	83.3	1910	0	1.9900312508980278e-9	90.6047926968429	1	0.08146202691506	0.02901735946353151	0.14574314574314584	34.118324607329846	1	-33.118324607329846	NA	NA	NA	K00916	575.07	715.5	1.1e-215	CTD kinase subunit alpha [EC:2.7.11.22 2.7.11.23]	VOG00098	REFSEQ nucleotidyltransferase	5.2e-77	261.2	0	8.8e-77	260.4	4	10	CM033830.1	Genbank	CDS	1233297	1234192	.	+	0	ID=cds-KAG9218908.1;Parent=rna-gnl|WGS:WQMT|mrna.g0978.t1.cds;Dbxref=NCBI_GP:KAG9218908.1;Name=KAG9218908.1;gbkey=CDS;locus_tag=CCMSSC00406_0000978;orig_transcript_id=gnl|WGS:WQMT|mrna.g0978.t1.cds;product=hypothetical protein;protein_id=KAG9218908.1	3564128	NCBI_GP:KAG9218908.1	NA	CDS	NA	NA	NA	cds-KAG9218908.1	CCMSSC00406_0000978	KAG9218908.1	NA	NA	gnl|WGS:WQMT|mrna.g0978.t1.cds	rna-gnl|WGS:WQMT|mrna.g0978.t1.cds	NA	hypothetical protein	KAG9218908.1	NA	9	NA	NA	NA	NA	NA
Pleurotus	CM033832.1_cds_KAG9217549.1_9988_1	blast	NA	kingdom	1 possible HGT	kingdom	Fungi	genus	KAF9488154.1	56.5	234	5.08e-63	8	1	9	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5222595.1	58.6	254	5.49e-69	13.737893564033214	8.19672131147541	1	0.5032583347756457	0.17926423581910012	0.17460317460317454	4.269291338582677	1	-3.2692913385826774	NA	NA	NA	NA	NA	NA	NA	NA	VOG04178	REFSEQ hypothetical protein	0.42	11.9	3.3	2.9	9.3	1	10	CM033832.1	Genbank	CDS	254792	255106	.	-	0	ID=cds-KAG9217549.1;Parent=rna-gnl|WGS:WQMT|mrna.g08961.t1.cds;Dbxref=NCBI_GP:KAG9217549.1;Name=KAG9217549.1;gbkey=CDS;locus_tag=CCMSSC00406_0008476;orig_transcript_id=gnl|WGS:WQMT|mrna.g08961.t1.cds;product=hypothetical protein;protein_id=KAG9217549.1	1676884	NCBI_GP:KAG9217549.1	NA	CDS	NA	NA	NA	cds-KAG9217549.1	CCMSSC00406_0008476	KAG9217549.1	NA	NA	gnl|WGS:WQMT|mrna.g08961.t1.cds	rna-gnl|WGS:WQMT|mrna.g08961.t1.cds	NA	hypothetical protein	KAG9217549.1	NA	3	NA	NA	NA	NA	NA
Pleurotus	CM057205.1_cds_KAJ8702654.1_3632_1	blast	NA	kingdom	3 highly likely HGT	kingdom	Fungi	class	KAF8237795.1	80.9	584	3.369999999999998e-168	99	1	100	Other Eukaryota	Eukaryota;Other Eukaryota;unclassified Eukaryota phylum;unclassified Eukaryota class;unclassified Eukaryota order;unclassified Eukaryota family;unclassified Eukaryota genus;unclassified Eukaryota species	KAF9499690.1	98.3	724	2.009999999999999e-210	74.89763571997275	21.406727828746178	1	0.08079313589591118	0.02877909567511869	0.14571428571428569	74.86878453038673	1	-73.86878453038673	NA	NA	NA	K03259	33.7	208.1	2e-62	translation initiation factor 4E	VOG05683	REFSEQ hypothetical protein	2e-21	77.6	0	2.5e-20	73.9	8	10	CM057205.1	Genbank	CDS	3311586	3312005	.	-	0	ID=cds-KAJ8702654.1;Parent=rna-gnl|WGS:JAQZRA|PTI98_001353-T1_mrna;Dbxref=PFAM:PF01652,NCBI_GP:KAJ8702654.1;Name=KAJ8702654.1;Note=BUSCO:EOG092646VF~EggNog:ENOG503NYNX~COG:J;gbkey=CDS;gene=TIF45;locus_tag=PTI98_001353;orig_transcript_id=gnl|WGS:JAQZRA|PTI98_001353-T1_mrna;product=eukaryotic translation initiation factor 4E;protein_id=KAJ8702654.1	5366244	PFAM:PF01652,NCBI_GP:KAJ8702654.1	NA	CDS	NA	NA	NA	cds-KAJ8702654.1	PTI98_001353	KAJ8702654.1	BUSCO:EOG092646VF~EggNog:ENOG503NYNX~COG:J	NA	gnl|WGS:JAQZRA|PTI98_001353-T1_mrna	rna-gnl|WGS:JAQZRA|PTI98_001353-T1_mrna	NA	eukaryotic translation initiation factor 4E	KAJ8702654.1	NA	5	TIF45	NA	NA	NA	NA
Pleurotus	CM057206.1_cds_KAJ8700460.1_1438_1	blast	NA	kingdom	1 possible HGT	kingdom	Fungi	class	KAF4577150.1	85.1	703	2.98e-204	99	1	100	Other Eukaryota	Eukaryota;Other Eukaryota;unclassified Eukaryota phylum;unclassified Eukaryota class;unclassified Eukaryota order;unclassified Eukaryota family;unclassified Eukaryota genus;unclassified Eukaryota species	KDQ33043.1	99.7	834	1.3199999999999996e-243	2.979556068680722e-4	17.04619388418998	1	0.08079313589591118	0.02877909567511869	0.14571428571428569	66.55515587529976	1	-65.55515587529976	NA	NA	NA	K21927	547.43	570.5	1.1999999999999998e-172	alpha-muurolene/germacrene-A/gamma-muurolene synthase [EC:4.2.3.125 4.2.3.23 4.2.3.126]	Terpene_synth_C	Terpene synthase, C-terminus	4.2e-17	63.6	0	6.5e-17	62.9	10	10	CM057206.1	Genbank	CDS	3128093	3128538	.	+	0	ID=cds-KAJ8700460.1;Parent=rna-gnl|WGS:JAQZRA|PTI98_003479-T2_mrna;Dbxref=PFAM:PF19086,NCBI_GP:KAJ8700460.1;Name=KAJ8700460.1;Note=EggNog:ENOG503P0RJ~COG:E;gbkey=CDS;gene=AGR3_1;locus_tag=PTI98_003479;orig_transcript_id=gnl|WGS:JAQZRA|PTI98_003479-T2_mrna;product=Anterior gradient protein 3%2C variant 2;protein_id=KAJ8700460.1	4855292	PFAM:PF19086,NCBI_GP:KAJ8700460.1	NA	CDS	NA	NA	NA	cds-KAJ8700460.1	PTI98_003479	KAJ8700460.1	EggNog:ENOG503P0RJ~COG:E	NA	gnl|WGS:JAQZRA|PTI98_003479-T2_mrna	rna-gnl|WGS:JAQZRA|PTI98_003479-T2_mrna	NA	Anterior gradient protein 3%2C variant 2	KAJ8700460.1	NA	3	AGR3_1	NA	NA	NA	NA
Pleurotus	CM057206.1_cds_KAJ8701174.1_2152_1	blast	NA	kingdom	3 highly likely HGT	kingdom	Fungi	genus	KAG9221473.1	47.8	84.4	2.12e-18	2	1	3	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5220269.1	68.5	218	3.5300000000000005e-58	91.59352193750055	88.35978835978837	1	0.9182958340544896	0.3271035759815648	0.23809523809523803	0.5830275229357799	1	0.41697247706422014	NA	NA	NA	K25868	231.3	46.7	2.3e-13	chromatin remodeling protein	NA	NA	NA	NA	NA	NA	NA	5	10	CM057206.1	Genbank	CDS	4812404	4812513	.	+	0	ID=cds-KAJ8701174.1;Parent=rna-gnl|WGS:JAQZRA|PTI98_004131-T1_mrna;Dbxref=NCBI_GP:KAJ8701174.1;Name=KAJ8701174.1;Note=EggNog:ENOG503PING;gbkey=CDS;locus_tag=PTI98_004131;orig_transcript_id=gnl|WGS:JAQZRA|PTI98_004131-T1_mrna;product=hypothetical protein;protein_id=KAJ8701174.1	4855292	NCBI_GP:KAJ8701174.1	NA	CDS	NA	NA	NA	cds-KAJ8701174.1	PTI98_004131	KAJ8701174.1	EggNog:ENOG503PING	NA	gnl|WGS:JAQZRA|PTI98_004131-T1_mrna	rna-gnl|WGS:JAQZRA|PTI98_004131-T1_mrna	NA	hypothetical protein	KAJ8701174.1	NA	5	NA	NA	NA	NA	NA
Pleurotus	CM057207.1_cds_KAJ8697461.1_4676_1	blast	NA	kingdom	3 highly likely HGT	kingdom	Fungi	kingdom	KAF4564482.1	73.1	143	2.12e-35	45	1	100	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5222625.1	81	224	9.3e-60	56.08602901337585	44.141689373297005	0.9884615384615384	1.188293642993003	0.4232787360288821	0.29142857142857126	17.117410714285715	1	-16.117410714285715	NA	NA	NA	K13953	336.77	62.8	2.4e-18	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	VOG09811	REFSEQ HNH endonuclease	2.9e-8	34.4	0.1	4.1e-8	33.9	1	10	CM057207.1	Genbank	CDS	375844	376003	.	+	0	ID=cds-KAJ8697461.1;Parent=rna-gnl|WGS:JAQZRA|PTI98_004265-T1_mrna;Dbxref=NCBI_GP:KAJ8697461.1;Name=KAJ8697461.1;Note=EggNog:ENOG503NWNG~COG:Q;gbkey=CDS;locus_tag=PTI98_004265;orig_transcript_id=gnl|WGS:JAQZRA|PTI98_004265-T1_mrna;product=hypothetical protein;protein_id=KAJ8697461.1	3642581	NCBI_GP:KAJ8697461.1	NA	CDS	NA	NA	NA	cds-KAJ8697461.1	PTI98_004265	KAJ8697461.1	EggNog:ENOG503NWNG~COG:Q	NA	gnl|WGS:JAQZRA|PTI98_004265-T1_mrna	rna-gnl|WGS:JAQZRA|PTI98_004265-T1_mrna	NA	hypothetical protein	KAJ8697461.1	NA	4	NA	NA	NA	NA	NA
Pleurotus	CM057208.1_cds_KAJ8696077.1_7856_1	blast	NA	kingdom	3 highly likely HGT	kingdom	Fungi	kingdom	UMB36833.1	72.4	341	4.519999999999999e-95	99	1	100	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5220215.1	89.2	457	6.479999999999996e-130	80.23026973827155	29.072681704260653	1	0.08079313589591118	0.02877909567511869	0.14571428571428569	17.903063457330415	1	-16.903063457330415	NA	NA	NA	K00505	172.37	55.8	3.4e-16	tyrosinase [EC:1.14.18.1]	VOG18023	REFSEQ hypothetical protein	0.13	13.9	0.1	0.18	13.3	1	10	CM057208.1	Genbank	CDS	823938	824291	.	-	0	ID=cds-KAJ8696077.1;Parent=rna-gnl|WGS:JAQZRA|PTI98_005975-T1_mrna;Dbxref=NCBI_GP:KAJ8696077.1;Name=KAJ8696077.1;Note=COG:S~EggNog:ENOG503P1MK;gbkey=CDS;locus_tag=PTI98_005975;orig_transcript_id=gnl|WGS:JAQZRA|PTI98_005975-T1_mrna;product=hypothetical protein;protein_id=KAJ8696077.1	3541385	NCBI_GP:KAJ8696077.1	NA	CDS	NA	NA	NA	cds-KAJ8696077.1	PTI98_005975	KAJ8696077.1	COG:S~EggNog:ENOG503P1MK	NA	gnl|WGS:JAQZRA|PTI98_005975-T1_mrna	rna-gnl|WGS:JAQZRA|PTI98_005975-T1_mrna	NA	hypothetical protein	KAJ8696077.1	NA	3	NA	NA	NA	NA	NA
Pleurotus	CM057208.1_cds_KAJ8696470.1_8249_1	blast	NA	kingdom	1 possible HGT	kingdom	Fungi	class	KAF9501996.1	68.9	133	1.19e-32	99	1	100	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5221338.1	68.2	137	1.4800000000000001e-33	2.0844963123414573	2.962962962962963	1	0.08079313589591118	0.02877909567511869	0.14571428571428569	75.592700729927	1	-74.592700729927	NA	NA	NA	K01738	423.1	50.8	1.3e-14	cysteine synthase [EC:2.5.1.47]	PALP	Pyridoxal-phosphate dependent enzyme	0.0026	18.3	0	0.0029	18.2	1	10	CM057208.1	Genbank	CDS	1617204	1617542	.	-	0	ID=cds-KAJ8696470.1;Parent=rna-gnl|WGS:JAQZRA|PTI98_006337-T1_mrna;Dbxref=NCBI_GP:KAJ8696470.1;Name=KAJ8696470.1;Note=COG:E~EggNog:ENOG503NW4Y;gbkey=CDS;locus_tag=PTI98_006337;orig_transcript_id=gnl|WGS:JAQZRA|PTI98_006337-T1_mrna;product=hypothetical protein;protein_id=KAJ8696470.1	3541385	NCBI_GP:KAJ8696470.1	NA	CDS	NA	NA	NA	cds-KAJ8696470.1	PTI98_006337	KAJ8696470.1	COG:E~EggNog:ENOG503NW4Y	NA	gnl|WGS:JAQZRA|PTI98_006337-T1_mrna	rna-gnl|WGS:JAQZRA|PTI98_006337-T1_mrna	NA	hypothetical protein	KAJ8696470.1	NA	1	NA	NA	NA	NA	NA
Pleurotus	CM057208.1_cds_KAJ8697242.1_9021_1	blast	NA	kingdom	3 highly likely HGT	kingdom	Fungi	species	XP_036631343.1	90.7	82.8	8.86e-17	1	1	2	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5220318.1	91.9	160	1.44e-40	54.77636078989213	63.59143327841845	1	1	0.3562071871080222	0.2857142857142857	0.5175	1	0.4825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	10	CM057208.1	Genbank	CDS	3295016	3295300	.	+	0	ID=cds-KAJ8697242.1;Parent=rna-gnl|WGS:JAQZRA|PTI98_007040-T1_mrna;Dbxref=NCBI_GP:KAJ8697242.1;Name=KAJ8697242.1;gbkey=CDS;locus_tag=PTI98_007040;orig_transcript_id=gnl|WGS:JAQZRA|PTI98_007040-T1_mrna;product=hypothetical protein;protein_id=KAJ8697242.1	3541385	NCBI_GP:KAJ8697242.1	NA	CDS	NA	NA	NA	cds-KAJ8697242.1	PTI98_007040	KAJ8697242.1	NA	NA	gnl|WGS:JAQZRA|PTI98_007040-T1_mrna	rna-gnl|WGS:JAQZRA|PTI98_007040-T1_mrna	NA	hypothetical protein	KAJ8697242.1	NA	3	NA	NA	NA	NA	NA
Pleurotus	CM057210.1_cds_KAJ8693608.1_9419_1	blast	NA	kingdom	3 highly likely HGT	kingdom	Fungi	genus	KAF9495001.1	97.2	307	2.63e-85	3	1	4	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5220507.1	89.1	400	2.47e-113	64.53514829938305	26.30834512022631	1	0.8112781244591328	0.28898309867585964	0.2142857142857143	2.0375	1	-1.0375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	10	CM057210.1	Genbank	CDS	822258	822335	.	+	0	ID=cds-KAJ8693608.1;Parent=rna-gnl|WGS:JAQZRA|PTI98_008587-T1_mrna;Dbxref=NCBI_GP:KAJ8693608.1;Name=KAJ8693608.1;gbkey=CDS;locus_tag=PTI98_008587;orig_transcript_id=gnl|WGS:JAQZRA|PTI98_008587-T1_mrna;product=hypothetical protein;protein_id=KAJ8693608.1	3217351	NCBI_GP:KAJ8693608.1	NA	CDS	NA	NA	NA	cds-KAJ8693608.1	PTI98_008587	KAJ8693608.1	NA	NA	gnl|WGS:JAQZRA|PTI98_008587-T1_mrna	rna-gnl|WGS:JAQZRA|PTI98_008587-T1_mrna	NA	hypothetical protein	KAJ8693608.1	NA	4	NA	NA	NA	NA	NA
Pleurotus	CM057210.1_cds_KAJ8694074.1_9885_1	blast	NA	kingdom	3 highly likely HGT	kingdom	Fungi	order	KDQ26090.1	53.1	268	5.589999999999999e-73	7	4	11	Viridiplantae	Eukaryota;Viridiplantae;Streptophyta;Magnoliopsida;Malpighiales;Salicaceae;Salix;Salix suchowensis	KAG5221210.1	77.4	368	1.28e-103	70.55167199905685	31.446540880503143	1	0.94566030460064	0.33685099706150945	0.2467532467532466	3.619565217391304	2.8070652173913047	-0.8124999999999996	NA	NA	NA	NA	NA	NA	NA	NA	VOG02273	REFSEQ hypothetical protein	0.19	12.9	8	0.34	12.1	1	10	CM057210.1	Genbank	CDS	1953733	1954283	.	-	0	ID=cds-KAJ8694074.1;Parent=rna-gnl|WGS:JAQZRA|PTI98_009007-T1_mrna;Dbxref=NCBI_GP:KAJ8694074.1;Name=KAJ8694074.1;Note=COG:L~EggNog:ENOG503PA61;gbkey=CDS;locus_tag=PTI98_009007;orig_transcript_id=gnl|WGS:JAQZRA|PTI98_009007-T1_mrna;product=hypothetical protein;protein_id=KAJ8694074.1	3217351	NCBI_GP:KAJ8694074.1	NA	CDS	NA	NA	NA	cds-KAJ8694074.1	PTI98_009007	KAJ8694074.1	COG:L~EggNog:ENOG503PA61	NA	gnl|WGS:JAQZRA|PTI98_009007-T1_mrna	rna-gnl|WGS:JAQZRA|PTI98_009007-T1_mrna	NA	hypothetical protein	KAJ8694074.1	NA	3	NA	NA	NA	NA	NA
